"filename", "language", "JavaScript", "JSON", "Markdown", "HTML", "TypeScript", "JSON with Comments", "TypeScript JSX", "SVG", "YAML", "comment", "blank", "total"
"e:\dungeon-of-aurora-front\src\assets\svgs\ranged_weapon_icon.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"e:\dungeon-of-aurora-front\src\assets\svgs\sleep_icon.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"e:\dungeon-of-aurora-front\src\assets\svgs\tool_icon.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"e:\dungeon-of-aurora-front\src\assets\svgs\transmutation_icon.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"e:\dungeon-of-aurora-front\src\assets\svgs\trash_icon.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"e:\dungeon-of-aurora-front\src\assets\svgs\valuable_icon.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"e:\dungeon-of-aurora-front\src\assets\svgs\weapon_icon.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
"e:\dungeon-of-aurora-front\src\components\atoms\Anotation\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 59, 0, 0, 1, 6, 66
"e:\dungeon-of-aurora-front\src\components\atoms\Anotation\styles.ts", "TypeScript", 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 12, 67
"e:\dungeon-of-aurora-front\src\components\atoms\Attribute\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 9, 51
"e:\dungeon-of-aurora-front\src\components\atoms\Attribute\styles.ts", "TypeScript", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 8, 51
"e:\dungeon-of-aurora-front\src\components\atoms\Button\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 4, 28
"e:\dungeon-of-aurora-front\src\components\atoms\Button\styles.ts", "TypeScript", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 6, 45
"e:\dungeon-of-aurora-front\src\components\atoms\CharacterItem\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 5, 51
"e:\dungeon-of-aurora-front\src\components\atoms\CharacterItem\styles.ts", "TypeScript", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 10, 69
"e:\dungeon-of-aurora-front\src\components\atoms\Checkbox\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 5, 30
"e:\dungeon-of-aurora-front\src\components\atoms\Checkbox\styles.ts", "TypeScript", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 13, 71
"e:\dungeon-of-aurora-front\src\components\atoms\Coins\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 6, 34
"e:\dungeon-of-aurora-front\src\components\atoms\Coins\styles.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 3, 20
"e:\dungeon-of-aurora-front\src\components\atoms\DeleteSwipe\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 6
"e:\dungeon-of-aurora-front\src\components\atoms\DeleteSwipe\styles.ts", "TypeScript", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 6, 45
"e:\dungeon-of-aurora-front\src\components\atoms\Dropdown\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 3, 17
"e:\dungeon-of-aurora-front\src\components\atoms\Dropdown\styles.ts", "TypeScript", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 4, 32
"e:\dungeon-of-aurora-front\src\components\atoms\Equipment\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 221, 0, 0, 0, 25, 246
"e:\dungeon-of-aurora-front\src\components\atoms\Equipment\styles.ts", "TypeScript", 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 16, 96
"e:\dungeon-of-aurora-front\src\components\atoms\Feature\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 12, 66
"e:\dungeon-of-aurora-front\src\components\atoms\Feature\styles.ts", "TypeScript", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 8, 53
"e:\dungeon-of-aurora-front\src\components\atoms\Filter\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 8, 76
"e:\dungeon-of-aurora-front\src\components\atoms\Filter\styles.ts", "TypeScript", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 8, 50
"e:\dungeon-of-aurora-front\src\components\atoms\Input\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 4, 33
